title,price,image_url
 Renew Women Aloe Vera & Herbs Moisturising Body Lotion 400ml, R19.99,https://www.shoprite.co.za/medias/10605937EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0NzkxMnxpbWFnZS9wbmd8aW1hZ2VzL2g3ZC9oY2IvODk1ODk5NjY0Mzg3MC5wbmd8OTg0NDQ4OGEzODZmZTg4NzY5MGY4YWExY2ZjNzY1Y2Q4NWQxYjVhYTJjOWE0NmI3ZGEyYjZjZGE3OWU0NjBjMQ
 Huggies Dry Comfort Jumbo Pack Size 2 Diapers 94 Pack, R169.99,https://www.shoprite.co.za/medias/10619443EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w5MjQ3MHxpbWFnZS9wbmd8aW1hZ2VzL2g2ZC9oODgvODkzODU5ODk4OTg1NC5wbmd8ZDliYTE1ZTczZGUyNjIxYTAxYWMwY2E5MzEwOTJmZmY1YjBmOTI2NzIyMTg3ZGNkYmM3NGM2NmU3MjE5OGRkNw
 Nescafé Ricoffy Biscuit Flavoured Cappuccino Sticks 8 x 23g, R42.99,https://www.shoprite.co.za/medias/10628389PK1-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w5MTA5MHxpbWFnZS9wbmd8aW1hZ2VzL2hkNC9oNDQvOTA3ODk3MzI2Nzk5OC5wbmd8M2Q3MjJiODZmY2U4MjRiNmRmOTI4ZmQ4ZjE3MTY0OGY1OWEwMWI5YmJjNjQyNDY2ZTIzNTdjMDE0OGQwYjM1OA
 Super Brite Lavender Scented Multisurface Cleaner Spray Can 300ml, R23.99,https://www.shoprite.co.za/medias/10629789EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0MjQxOHxpbWFnZS9wbmd8aW1hZ2VzL2hjZS9oZjIvODk0MDkyOTU0ODMxOC5wbmd8NGMyMzQ0ZGE5Yjc0OGI1M2Y5NzYwZjhmNDYwNGI5YTk3YTkxOTgwYzM5NmQ0NjYyZTJkZmZhOGU1MzcyMGIxOA
 Super Brite Citrus Scented Multisurface Cleaner Spray Can 300ml, R23.99,https://www.shoprite.co.za/medias/10629790EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0MjU4MnxpbWFnZS9wbmd8aW1hZ2VzL2hjNi9oMDkvODk0MDkzMDc2MDczNC5wbmd8ZTlhNmE0NmI2MjkyNzhlZjAzZWFjMTMzYWI1ODNmMjAxYjkyNTYzMmNlMmJhZjFkZGEyMGY0OTJjMmQyMTlhMA
 Super Brite Potpourri Multisurface Cleaner Spray Can 300ml, R23.99,https://www.shoprite.co.za/medias/10629791EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0MzA2NnxpbWFnZS9wbmd8aW1hZ2VzL2g5ZS9oNTUvODk0MDkyMjQzNzY2Mi5wbmd8M2M0Y2RkOGVhMjk3MjhiNTAzNjQ3MjM2ZGQzYWNkOTA3YTRmMjExNDdkOWZhNGViNGNjYWEwN2UwNzlhYWI3Yg
 Castle Lite Beer Bottle 660ml, R17.99,https://www.shoprite.co.za/medias/10156308EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w1Nzc5MXxpbWFnZS9wbmd8aW1hZ2VzL2hhYS9oNmQvODg1Nzk4NjUzMTM1OC5wbmd8NGRiYTBiNGU4MWUxZTg1MDQ5YzI2NDAzMGI5NzllZTAyNjhmOTM3OTFjYWYyNzEwMjg1ZjVhNzI0ZjJlNmUwZA
 Tiffany Strawberry Cream Biscuits 90g, R5.99,https://www.shoprite.co.za/medias/10188529EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0MzY2OXxpbWFnZS9wbmd8aW1hZ2VzL2hkNi9oOWYvODg1ODE5MDgzOTgzOC5wbmd8MjZiYjIxMTk2ZGFlYzIxMGU4ZmQ0Zjk2MGQ3ZDczYWY1YmJiMTYwYjM1OTRhYTYzNGQ0YTExYjFiN2M0N2QyZQ
 Bush Baby Charcoal Briquettes 4kg, R39.99,https://www.shoprite.co.za/medias/10189526EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxMDU1NjR8aW1hZ2UvcG5nfGltYWdlcy9oYjgvaDc2Lzg4NTgyNTgyNDM2MTQucG5nfDc4MDJlOTUwNGZhYzkxY2IxOWIxMTI1NGU1ZjVhNzRkN2Q1MWFhMWQxNWIzMDlmMzk1MmIwMmNlMDYxODgzZmM
 Tiffany Chocolate Cream Biscuits 90g, R5.99,https://www.shoprite.co.za/medias/10196334EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0NTAzNHxpbWFnZS9wbmd8aW1hZ2VzL2g5ZS9oMTQvODg1ODE5NzE5NjgzMC5wbmd8YmVjOGNlNDA2NmRiOGM4MDc1M2ZiMDRjMzgyNjhiNTgyYjZjNzc1NmI2YWJiYzk4NDljNGQ0ZTQzNzViOTJmNw
 Tiffany Custard Cream Biscuits 90g, R5.99,https://www.shoprite.co.za/medias/10196333EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0MDU5OHxpbWFnZS9wbmd8aW1hZ2VzL2hiNS9oNjYvODg1ODI0MzM2Njk0Mi5wbmd8MzUxOTg0ODk1MDE3MTEwMDUwN2ViZGViZjQ4NWE3MGVkNWEzZTA4NWNlZjQ3MjYyZDBjNjM5MzE5YjNlMzBiZg
 Tiffany Orange Cream Biscuits 90g, R5.99,https://www.shoprite.co.za/medias/10196335EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0MDc5M3xpbWFnZS9wbmd8aW1hZ2VzL2g0OC9oZWQvODg1ODI0Mzc2MDE1OC5wbmd8OTlhMzVkN2EyMmNiZTcyN2NhYmE2NTllZTI5OGRhYjE4NzYyZDhiZWIwY2Y4N2ExNGJiNGM3NzdkNmI5MmYyYg
